id,user_id,transaction_detail,total_coins,coins,created_at,updated_at,category
261,91,"You have earned 25 coins for sharing an update on Twitter.",380,25,"2022-01-18 22:07:56","2022-01-18 22:07:56",tw
262,98,"Coins removed for the late submission of YouTube How it works page task",5,-50,"2022-01-19 03:00:01","2022-01-19 03:00:01",ptd
263,59,"You have earned 15 coins for sharing an update on LinkedIn.",100,15,"2022-01-19 15:02:58","2022-01-19 15:02:58",li
264,90,"You have earned 30 coins for sharing an update on LinkedIn.",550,30,"2022-01-19 22:20:35","2022-01-19 22:20:35",li
265,96,"You have earned 30 coins for sharing an update on LinkedIn.",365,30,"2022-01-19 22:21:05","2022-01-19 22:21:05",li
266,96,"You have earned 30 coins for sharing an update on LinkedIn.",395,30,"2022-01-19 22:22:03","2022-01-19 22:22:03",li
267,98,"Coins removed for the late submission of YouTube How it works page task",-45,-50,"2022-01-20 03:00:01","2022-01-20 03:00:01",ptd
268,90,"You have earned 30 coins for sharing an update on LinkedIn.",580,30,"2022-01-20 12:09:48","2022-01-20 12:09:48",li
269,73,"You have earned 20 coins for sharing an update on LinkedIn.",350,20,"2022-01-20 14:01:24","2022-01-20 14:01:24",li
270,91,"You have earned 30 coins for sharing an update on LinkedIn.",410,30,"2022-01-20 16:26:34","2022-01-20 16:26:34",li
271,100,"You have earned 20 coins for sharing an update on LinkedIn.",70,20,"2022-01-20 16:27:04","2022-01-20 16:27:04",li
272,43,"You have earned 30 coins for sharing an update on LinkedIn.",165,30,"2022-01-20 16:27:18","2022-01-20 16:27:18",li
273,94,"You have earned 30 coins for sharing an update on LinkedIn.",490,30,"2022-01-20 18:14:25","2022-01-20 18:14:25",li
274,59,"You have earned 20 coins for sharing an update on LinkedIn.",120,20,"2022-01-20 18:14:37","2022-01-20 18:14:37",li
275,88,"You have earned 30 coins for sharing an update on LinkedIn.",220,30,"2022-01-20 18:14:49","2022-01-20 18:14:49",li
276,88,"You have earned 25 coins for sharing an update on Twitter.",245,25,"2022-01-20 18:55:51","2022-01-20 18:55:51",tw
277,92,"You have earned 25 coins for sharing an update on Twitter.",390,25,"2022-01-20 21:09:10","2022-01-20 21:09:10",tw
278,93,"You have earned 20 coins for sharing an update on LinkedIn.",330,20,"2022-01-20 21:09:36","2022-01-20 21:09:36",li
279,101,"You have earned 15 coins for sharing an update on LinkedIn.",35,15,"2022-01-20 21:09:55","2022-01-20 21:09:55",li
280,98,"Coins removed for the late submission of YouTube How it works page task",-95,-50,"2022-01-21 03:00:01","2022-01-21 03:00:01",ptd
281,97,"You have earned 30 coins for sharing an update on LinkedIn.",-35,30,"2022-01-21 08:55:38","2022-01-21 08:55:38",li
282,97,"You have earned 30 coins for sharing an update on LinkedIn.",-5,30,"2022-01-21 08:56:22","2022-01-21 08:56:22",li
283,97,"You have earned 30 coins for sharing an update on LinkedIn.",25,30,"2022-01-21 08:56:32","2022-01-21 08:56:32",li
284,97,"Good progress friend, you got 25 coins for completing a roadmap in your career.",50,25,"2022-01-21 10:04:32","2022-01-21 10:04:32",rm
285,97,"You have earned 50 coins for sharing an update on Twitter.",100,50,"2022-01-21 11:19:01","2022-01-21 11:19:01",tw
286,43,"You lost 10 coins for the redo of Git Hub Profile Tasks.",155,-10,"2022-01-21 14:49:26","2022-01-21 14:49:26",rd
287,97,"You have won 50 coins for submitting the Twitter Profile on time. Keep going!",150,50,"2022-01-21 14:57:10","2022-01-21 14:57:10",tot
288,97," Hey Friend, good you got 20 coins for the Twitter Profile",170,20,"2022-01-21 15:19:45","2022-01-21 15:19:45",te
289,91," Hey Friend, good you got 20 coins for the Twitter Profile",430,20,"2022-01-21 16:50:07","2022-01-21 16:50:07",te
290,90," Hey Friend, good you got 20 coins for the Twitter Profile",600,20,"2022-01-21 18:33:50","2022-01-21 18:33:50",te
